label,speedQuartile1,speedMedian,speedQuartile3,elevationGradientQuartile3,heartRateQuartile1,heartRateMedian,heartRateQuartile3
regular,5.03362,7.24149,9.3397,0.0387867,108,156.4,178.6
regular,5.24167,8.2367,9.96444,0.0384536,84.8,134.4,175
regular,8.94105,9.62806,10.3167,0.0307237,114.2,120.6,131.4
regular,7.97346,9.12732,9.92595,0.00831787,112.2,118,123
regular,5.47327,8.31737,9.45938,0.0400716,89,154.2,171
overTraining,7.716,9.35709,10.1839,0.0111557,124.8,128.4,132.8
regular,6.27976,9.12979,10.4358,0.0133211,145.2,173.4,179.4
regular,8.14463,9.23775,10.1838,0.0469042,162.8,171.8,178.4
regular,10.5719,12.7897,13.7503,0.0318591,149,157,182.4
regular,10.5407,11.0491,11.6944,0.0137167,135,137,143.8
regular,7.37305,8.8874,9.71011,0.0426781,122.4,135.6,165
regular,9.43237,10.8649,12.2002,0.0705399,161.4,175.6,184
regular,9.41388,11.3654,12.6818,0.0719767,175.2,182.2,188
regular,7.60103,9.38074,10.3554,0.0387244,149.4,171.2,175.4
regular,4.39819,8.17248,9.61533,0.03651,86.4,162.8,175
regular,4.92286,8.72688,10.1661,0.0109406,111,168,178.4
regular,7.11633,8.90053,10.0736,0.013897,123,128.2,133.2
regular,5.04655,8.26393,10.1267,0.0402321,98,126,138.4
regular,10.5396,12.9197,14.4892,0.0395918,169.8,180.4,188.4
regular,7.6261,9.11675,10.3429,0.0389399,158.8,170.6,174.6
regular,7.41056,9.51382,10.7495,0.0395105,128.4,172,182.4
regular,10.6783,11.8281,12.9487,0.0363639,179.6,183.6,187.2
regular,7.73803,9.45547,10.4232,0.0349517,127.6,168,176.4
overTraining,5.17681,9.24971,10.5943,0.0401565,132.6,164,173.8
regular,5.99726,10.7478,11.9386,0.0220763,108.8,131.6,139
regular,5.15577,8.06395,9.6151,0.0520875,91.8,119,169
regular,9.33578,10.2945,11.0705,0.0353891,122.4,130.4,136.2
regular,6.51275,8.40722,9.416,0.0332993,113,163.4,171.8
