label,speedAverage,speedMinimum,speedQuartile1,speedMedian,speedQuartile3,speedMaximum,speedVariance,elevationGradientAverage,elevationGradientMinimum,elevationGradientQuartile1,elevationGradientMedian,elevationGradientQuartile3,elevationGradientMaximum,elevationGradientVariance,heartRateAverage,heartRateMinimum,heartRateQuartile1,heartRateMedian,heartRateQuartile3,heartRateMaximum,heartRateVariance
regular,0,0.0529875,5.03362,7.24149,9.3397,13.7774,0,0,-0.299926,-0.0402492,0,0.0387867,1.0826,0,0,53.8,108,156.4,178.6,202.6,0
regular,0,0,5.24167,8.2367,9.96444,14.3324,0,0,-0.198881,-0.0367512,0,0.0384536,0.387068,0,0,61,84.8,134.4,175,194.4,0
regular,0,0,8.94105,9.62806,10.3167,12.4498,0,0,-0.225745,-0.0325169,0,0.0307237,0.290752,0,0,67.2,114.2,120.6,131.4,147.6,0
regular,0,1.57643,4.15656,4.52372,5.05883,6.69245,0,0,-0.0561745,-0.00936767,0,0.00862173,0.0626594,0,0,0,0,0,0,0,0
regular,0,0,7.97346,9.12732,9.92595,13.0054,0,0,-0.170549,-0.00898082,0,0.00831787,0.136035,0,0,75,112.2,118,123,143.6,0
regular,0,0,5.47327,8.31737,9.45938,14.4132,0,0,-0.449337,-0.0345458,0,0.0400716,0.228633,0,0,56,89,154.2,171,190,0
overTraining,0,0,7.716,9.35709,10.1839,14.0335,0,0,-0.0931757,-0.0136219,0,0.0111557,0.111997,0,0,87,124.8,128.4,132.8,148.2,0
regular,0,0,6.27976,9.12979,10.4358,13.4943,0,0,-0.251038,-0.0154864,0,0.0133211,0.266779,0,0,68,145.2,173.4,179.4,202,0
regular,0,0,5.62224,6.71764,8.86892,12.9358,0,0,-0.339747,-0.0341412,0,0.0427626,3.00074,0,0,0,0,0,0,0,0
regular,0,0,8.14463,9.23775,10.1838,13.7144,0,0,-0.449889,-0.0344727,0,0.0469042,0.167688,0,0,69.8,162.8,171.8,178.4,192.4,0
regular,0,0.250944,10.5719,12.7897,13.7503,18.2307,0,0,-0.33161,-0.0267673,0,0.0318591,0.428318,0,0,96.2,149,157,182.4,198,0
regular,0,3.53222,10.5407,11.0491,11.6944,14.0665,0,0,-0.0565495,-0.00680646,0,0.0137167,0.0363474,0,0,87.2,135,137,143.8,172,0
regular,0,0,7.37305,8.8874,9.71011,13.2124,0,0,-0.282449,-0.0414679,0,0.0426781,0.271794,0,0,91,122.4,135.6,165,190,0
regular,0,0.215564,9.43237,10.8649,12.2002,18.1661,0,0,-0.334008,-0.0505917,0.00681185,0.0705399,0.477391,0,0,66,161.4,175.6,184,205,0
regular,0,0,9.41388,11.3654,12.6818,18.2099,0,0,-0.425655,-0.0335749,0.00612763,0.0719767,0.384981,0,0,60,175.2,182.2,188,210,0
regular,0,0,7.60103,9.38074,10.3554,16.7511,0,0,-1.35868,-0.0426468,0,0.0387244,0.788446,0,0,66.2,149.4,171.2,175.4,200.2,0
overTraining,0,0,8.48458,9.48739,10.2649,14.6034,0,0,-0.0855265,-0.00787591,0,0.00790036,0.136678,0,0,52.2,146.4,175.2,179.6,194,0
regular,0,0,4.39819,8.17248,9.61533,13.5666,0,0,-0.337995,-0.0376647,-0.00671352,0.03651,0.21092,0,0,70.2,86.4,162.8,175,190.8,0
regular,0,0.0962346,4.92286,8.72688,10.1661,14.0982,0,0,-0.145351,-0.00985251,0,0.0109406,0.051358,0,0,60.4,111,168,178.4,200,0
regular,0,0.176253,7.11633,8.90053,10.0736,12.3837,0,0,-0.0998519,-0.013282,0,0.013897,0.0838579,0,0,69,123,128.2,133.2,181.6,0
regular,0,0,5.04655,8.26393,10.1267,14.8342,0,0,-0.163238,-0.037942,0,0.0402321,1.35881,0,0,76,98,126,138.4,153,0
regular,0,0.0528135,10.5396,12.9197,14.4892,23.6943,0,0,-0.229305,-0.0301139,0,0.0395918,0.275419,0,0,111,169.8,180.4,188.4,199.8,0
regular,0,0,7.6261,9.11675,10.3429,15.3024,0,0,-0.679495,-0.0360337,0,0.0389399,0.256845,0,0,51.2,158.8,170.6,174.6,199.4,0
regular,0,0,7.41056,9.51382,10.7495,15.0314,0,0,-0.205645,-0.0364296,0,0.0395105,0.214619,0,0,67.4,128.4,172,182.4,200,0
regular,0,2.25213,10.6783,11.8281,12.9487,16.2946,0,0,-0.146012,-0.0426016,0.00664825,0.0363639,0.176888,0,0,84.2,179.6,183.6,187.2,202.6,0
regular,0,0,7.73803,9.45547,10.4232,15.7959,0,0,-0.724968,-0.041333,0,0.0349517,0.257587,0,0,67.8,127.6,168,176.4,186.6,0
regular,0,0,5.99726,10.7478,11.9386,14.2936,0,0,-0.133647,-0.00699899,0,0.0220763,0.144963,0,0,73.2,108.8,131.6,139,186.8,0
regular,0,0,5.15577,8.06395,9.6151,12.0739,0,0,-0.679495,-0.0429272,0.00617314,0.0520875,0.505744,0,0,68.2,91.8,119,169,187,0
regular,0,0,9.33578,10.2945,11.0705,15.0555,0,0,-0.180713,-0.039073,0.0067213,0.0353891,0.206887,0,0,81,122.4,130.4,136.2,181,0
